,Title,Published_date,Views,Likes,Favourites,Comments,Month
144,Charts in Excel | Excel Tutorials for Beginners,2022-01-25,81769,2240,0,48,Jan
145,How I became a Data Analytics Manager | Alex The Analyst Show | Episode 20,2022-01-18,22630,853,0,358,Jan
146,Conditional Formatting in Excel | Excel Tutorials for Beginners,2022-01-11,113429,2652,0,87,Jan
147,150k Subscriber Livestream!!,2022-01-10,3478,161,0,7,Jan
148,How To Become A Data Analyst In 2022,2022-01-04,496403,22177,0,642,Jan
149,XLOOKUP in Excel | Excel Tutorials for Beginners,2021-12-28,133546,3143,0,136,Dec
150,Formulas in Excel | Excel Tutorials for Beginners,2021-12-21,215730,5259,0,296,Dec
151,Pivot Tables in Excel | Excel Tutorials for Beginners,2021-12-14,434095,9271,0,281,Dec
152,Full Beginner Project in Tableau | Tableau Tutorials for Beginners,2021-12-07,198478,4229,0,324,Dec
153,How to use Joins in Tableau | Tableau Tutorials for Beginners,2021-11-23,89684,2641,0,55,Nov
154,Top 5 Major Red Flags in Job Descriptions,2021-11-18,17925,952,0,72,Nov
155,Truth About My Job (Song) - As a Data Analyst,2021-11-08,10354,873,0,105,Nov
156,How to Grow Your Analytics Career | Alteryx Webinar Oct 2021 | Tips to Break Into Analytics,2021-10-26,11036,338,0,35,Oct
157,Choosing a Domain to Make More Money,2021-10-19,18245,912,0,81,Oct
158,How to Create Visualizations in Tableau | Tableau Tutorials for Beginners,2021-10-05,121316,2927,0,148,Oct
159,How to use Calculated Fields and Bins in Tableau | Tableau Tutorials for Beginners,2021-09-28,153198,3518,0,76,Sep
160,How to Install Tableau and Create First Visualization | Tableau Tutorials for Beginners,2021-09-21,506966,12338,0,326,Sep
161,How NOT to Become a Data Analyst (Funny?),2021-09-07,17166,712,0,114,Sep
162,100k Subscriber Play Button Unboxing,2021-08-31,2635,242,0,96,Aug
163,Amazon Web Scraping Using Python | Data Analyst Portfolio Project,2021-08-24,210579,5101,0,530,Aug
164,Interviewing with PwC for a Senior Data Analyst Position,2021-08-17,86440,2337,0,158,Aug
165,100k Livestream | Announcing Giveaway Winners | Trimming Mustache | Answering Questions,2021-08-13,4732,192,0,26,Aug
166,I Am No Longer a Data Analyst | Turning Down PwC | New Job,2021-08-11,142978,4439,0,490,Aug
167,When To Start Applying To Your First Data Analyst Job,2021-07-21,68458,3823,0,228,Jul
